Pair,Model,Timeframe,Trades,Win Rate
XAUUSD,Classic Crabel,1m,25,60%
XAUUSD,Classic Crabel,5m,19,42%
XAUUSD,Classic Crabel,15m,8,13%
XAUUSD,Fisher ACD,1m,51,0%
XAUUSD,Fisher ACD,5m,19,11%
XAUUSD,Fisher ACD,15m,23,26%
XAUUSD,5-min Scalper,1m,25,60%
XAUUSD,5-min Scalper,5m,14,71%
XAUUSD,5-min Scalper,15m,4,25%
XAUUSD,Standard 15-min,1m,10,50%
XAUUSD,Standard 15-min,5m,5,40%
XAUUSD,Standard 15-min,15m,4,0%
XAUUSD,Conservative Retest,1m,48,0%
XAUUSD,Conservative Retest,5m,82,33%
XAUUSD,Conservative Retest,15m,58,33%
XAUUSD,FVG ORB,1m,4,75%
XAUUSD,FVG ORB,5m,10,30%
XAUUSD,FVG ORB,15m,12,25%
XAUUSD,Gold ORB,1m,80,44%
XAUUSD,Gold ORB,5m,48,48%
XAUUSD,Gold ORB,15m,41,39%
XAUUSD,ICT / Smart Money,1m,0,0%
XAUUSD,ICT / Smart Money,5m,0,0%
XAUUSD,ICT / Smart Money,15m,0,0%
XAUUSD,Failed ORB Reversal,1m,11,55%
XAUUSD,Failed ORB Reversal,5m,11,27%
XAUUSD,Failed ORB Reversal,15m,8,38%
XAUUSD,Combine,1m,35,71%
XAUUSD,Combine,5m,20,55%
XAUUSD,Combine,15m,11,9%
,,,,
Pair,Model,Timeframe,Trades,Win Rate
US30,Classic Crabel,1m,15,67%
US30,Classic Crabel,5m,12,50%
US30,Classic Crabel,15m,9,22%
US30,Fisher ACD,1m,75,7%
US30,Fisher ACD,5m,26,15%
US30,Fisher ACD,15m,21,14%
US30,5-min Scalper,1m,25,60%
US30,5-min Scalper,5m,16,81%
US30,5-min Scalper,15m,2,100%
US30,Standard 15-min,1m,10,50%
US30,Standard 15-min,5m,4,50%
US30,Standard 15-min,15m,3,67%
US30,Conservative Retest,1m,56,0%
US30,Conservative Retest,5m,85,16%
US30,Conservative Retest,15m,62,27%
US30,FVG ORB,1m,3,33%
US30,FVG ORB,5m,6,17%
US30,FVG ORB,15m,7,29%
US30,Gold ORB,1m,95,47%
US30,Gold ORB,5m,46,46%
US30,Gold ORB,15m,34,47%
US30,ICT / Smart Money,1m,0,0%
US30,ICT / Smart Money,5m,0,0%
US30,ICT / Smart Money,15m,0,0%
US30,Failed ORB Reversal,1m,12,25%
US30,Failed ORB Reversal,5m,11,36%
US30,Failed ORB Reversal,15m,9,22%
US30,Combine,1m,30,50%
US30,Combine,5m,8,38%
US30,Combine,15m,8,50%
,,,,
Pair,Model,Timeframe,Trades,Win Rate
US100,Classic Crabel,1m,30,67%
US100,Classic Crabel,5m,14,64%
US100,Classic Crabel,15m,13,46%
US100,Fisher ACD,1m,81,19%
US100,Fisher ACD,5m,44,16%
US100,Fisher ACD,15m,31,16%
US100,5-min Scalper,1m,5,100%
US100,5-min Scalper,5m,13,85%
US100,5-min Scalper,15m,1,100%
US100,Standard 15-min,1m,10,80%
US100,Standard 15-min,5m,6,67%
US100,Standard 15-min,15m,4,75%
US100,Conservative Retest,1m,20,0%
US100,Conservative Retest,5m,69,3%
US100,Conservative Retest,15m,62,18%
US100,FVG ORB,1m,4,25%
US100,FVG ORB,5m,7,14%
US100,FVG ORB,15m,9,67%
US100,Gold ORB,1m,95,56%
US100,Gold ORB,5m,52,48%
US100,Gold ORB,15m,39,46%
US100,ICT / Smart Money,1m,0,0%
US100,ICT / Smart Money,5m,0,0%
US100,ICT / Smart Money,15m,0,0%
US100,Failed ORB Reversal,1m,13,46%
US100,Failed ORB Reversal,5m,9,67%
US100,Failed ORB Reversal,15m,4,25%
US100,Combine,1m,20,90%
US100,Combine,5m,14,64%
US100,Combine,15m,9,44%